	.33	0.00	-0.92	0.00	-3.51	-5.49	64.24	-3.67	0.33	0.00	-0.92	0.00	-3.51	-5.49	64.24	-3.67	0.19	0.00	-1.48	0.00	-5.36	-5.35	81.44	-2.83
0.19	0.00	-1.48	0.00	-5.36	-5.35	81.44	-2.83	-0.01	0.00	-2.39	0.00	-7.03	-4.69	91.09	-1.97	-0.01	0.00	-2.39	0.00	-7.03	-4.69	91.09	-1.97
-0.34	0.00	-3.37	0.00	-8.14	-3.65	92.47	-1.32	-0.34	0.00	-3.37	0.00	-8.14	-3.65	92.47	-1.32	-0.74	0.00	-4.09	0.00	-8.30	-2.50	86.16	-0.88
-0.74	0.00	-4.09	0.00	-8.30	-2.50	86.16	-0.88	-1.06	0.00	-4.37	0.00	-7.47	-1.46	72.62	-0.47	-1.06	0.00	-4.37	0.00	-7.47	-1.46	72.62	-0.47
-1.20	0.00	-4.22	0.00	-6.14	-0.60	52.40	0.24	-1.20	0.00	-4.22	0.00	-6.14	-0.60	52.40	0.24	-1.20	0.00	-3.79	0.00	-5.04	0.12	27.58	1.40
-1.20	0.00	-3.79	0.00	-5.04	0.12	27.58	1.40	-1.16	0.00	-3.35	0.00	-4.66	0.61	1.75	2.79	-1.16	0.00	-3.35	0.00	-4.66	0.61	1.75	2.79
-1.14	0.00	-3.19	0.00	-5.02	0.61	-21.34	3.89	-1.14	0.00	-3.19	0.00	-5.02	0.61	-21.34	3.89	-1.12	0.00	-3.49	0.00	-5.65	-0.11	-38.99	4.32
-1.12	0.00	-3.49	0.00	-5.65	-0.11	-38.99	4.32	-1.05	0.00	-4.07	0.00	-5.80	-1.53	-50.19	4.02	-1.05	0.00	-4.07	0.00	-5.80	-1.53	-50.19	4.02
-0.92	0.00	-4.56	0.00	-4.96	-3.29	-55.24	3.10	-0.92	0.00	-4.56	0.00	-4.96	-3.29	-55.24	3.10	-0.81	0.00	-4.55	0.00	-3.24	-4.82	-54.61	1.77
-0.81	0.00	-4.55	0.00	-3.24	-4.82	-54.61	1.77	-0.77	0.00	-3.90	0.00	-1.30	-5.60	-48.34	0.26	-0.77	0.00	-3.90	0.00	-1.30	-5.60	-48.34	0.26
-0.77	0.00	-2.83	0.00	0.09	-5.41	-36.29	-1.15	-0.77	0.00	-2.83	0.00	0.09	-5.41	-36.29	-1.15	-0.69	0.00	-1.77	0.00	0.44	-4.54	-18.44	-2.28
-0.69	0.00	-1.77	0.00	0.44	-4.54	-18.44	-2.28	-0.44	0.00	-0.97	0.00	-0.18	-3.63	4.70	-3.08	-0.44	0.00	-0.97	0.00	-0.18	-3.63	4.70	-3.08
-0.06	0.00	-0.38	0.00	-1.35	-3.19	30.90	-3.62	-0.06	0.00	-0.38	0.00	-1.35	-3.19	30.90	-3.62	0.34	0.00	0.31	0.00	-2.68	-3.15	55.77	-3.95
0.34	0.00	0.31	0.00	-2.68	-3.15	55.77	-3.95	0.77	0.00	1.24	0.00	-3.98	-3.00	74.53	-4.04	0.77	0.00	1.24	0.00	-3.98	-3.00	74.53	-4.04
1.28	0.00	2.12	0.00	-5.20	-2.28	84.70	-3.78	1.28	0.00	2.12	0.00	-5.20	-2.28	84.70	-3.78	1.85	0.00	2.52	0.00	-6.25	-1.03	87.00	-3.18
1.85	0.00	2.52	0.00	-6.25	-1.03	87.00	-3.18	2.35	0.00	2.40	0.00	-6.99	0.32	83.63	-2.19	2.35	0.00	2.40	0.00	-6.99	0.32	83.63	-2.19
2.59	0.00	2.10	0.00	-7.33	1.37	75.94	-0.71	2.59	0.00	2.10	0.00	-7.33	1.37	75.94	-0.71	2.45	0.00	1.96	0.00	-7.33	2.08	64.26	1.23
2.45	0.00	1.96	0.00	-7.33	2.08	64.26	1.23	1.96	0.00	2.07	0.00	-7.17	2.63	48.93	3.24	1.96	0.00	2.07	0.00	-7.17	2.63	48.93	3.24
1.36	0.00	2.29	0.00	-7.10	3.16	30.33	4.67	1.36	0.00	2.29	0.00	-7.10	3.16	30.33	4.67	0.87	0.00	2.46	0.00	-7.17	3.65	9.10	5.08
0.87	0.00	2.46	0.00	-7.17	3.65	9.10	5.08	0.54	0.00	2.44	0.00	-7.28	4.06	-12.89	4.57	0.54	0.00	2.44	0.00	-7.28	4.06	-12.89	4.57
0.27	0.00	2.20	0.00	-7.18	4.32	-32.67	3.65	0.27	0.00	2.20	0.00	-7.18	4.32	-32.67	3.65	0.04	0.00	1.81	0.00	-6.72	4.36	-47.01	2.76
0.04	0.00	1.81	0.00	-6.72	4.36	-47.01	2.76	-0.02	0.00	1.41	0.00	-5.98	4.11	-52.68	2.05	-0.02	0.00	1.41	0.00	-5.98	4.11	-52.68	2.05
