6.38	-41.45	-10.60	-4.01	-0.44	5.73	17.83	0.99	10.55	4.22	1.07	-1.88	-0.43	-7.02	-6.74	4.08	2.95	5.33	2.43	-5.37	8.70	6.97	-16.17	-5.37
7.84	-34.98	-8.91	-5.15	-0.69	4.70	21.31	-1.08	14.60	6.98	4.32	0.04	1.13	-4.98	9.33	7.57	5.28	7.33	3.88	-3.61	7.82	9.35	-13.90	-3.56
4.99	-24.11	-6.85	-2.20	-0.37	3.82	20.69	0.02	17.57	9.19	7.77	1.87	1.36	-3.20	23.85	10.75	7.50	9.62	5.30	-1.70	7.47	10.63	-11.76	-2.26
-0.21	-12.67	-4.23	2.48	0.28	3.03	16.82	2.90	19.12	10.65	11.28	3.49	0.37	-1.87	35.96	13.33	9.37	11.94	6.57	0.19	7.52	10.88	-9.89	-1.58
-3.71	-1.11	-0.43	5.18	0.93	2.29	11.60	4.84	19.07	11.21	14.71	4.77	-1.64	-1.10	45.06	15.11	10.64	14.07	7.54	1.92	7.87	10.21	-8.43	-1.56
-2.07	12.43	5.04	3.32	1.17	1.51	7.02	3.92	17.44	10.85	17.83	5.61	-4.46	-0.95	50.93	16.00	11.21	15.83	8.18	3.37	8.42	8.80	-7.47	-2.18
5.22	28.55	11.55	-3.16	0.76	0.50	4.23	0.23	14.43	9.65	20.37	5.88	-7.82	-1.37	53.65	16.03	11.08	17.07	8.48	4.43	9.11	6.84	-7.05	-3.38
14.89	42.97	16.86	-11.64	-0.16	-0.86	3.08	-4.61	10.40	7.77	22.09	5.55	-11.46	-2.25	53.52	15.32	10.32	17.74	8.45	5.05	9.88	4.52	-7.18	-5.06
21.19	47.57	18.15	-17.62	-1.13	-2.36	2.34	-8.51	5.84	5.47	22.86	4.63	-15.11	-3.46	51.03	14.04	9.06	17.85	8.14	5.23	10.65	2.03	-7.83	-7.06
19.52	37.74	13.90	-17.14	-1.77	-3.55	0.58	-9.92	1.21	3.01	22.71	3.22	-18.50	-4.83	46.74	12.38	7.43	17.52	7.62	5.05	11.36	-0.41	-8.88	-9.21
10.08	18.05	5.27	-9.96	-1.96	-4.00	-2.85	-8.59	-3.05	0.63	21.78	1.46	-21.39	-6.20	41.27	10.54	5.56	16.95	6.98	4.62	11.98	-2.67	-10.21	-11.30
-2.05	-1.35	-4.45	-0.19	-1.78	-3.61	-7.37	-5.59	-6.62	-1.42	20.34	-0.45	-23.60	-7.40	35.27	8.73	3.60	16.37	6.34	4.11	12.55	-4.63	-11.65	-13.16
-10.77	-13.11	-11.69	6.90	-1.45	-2.62	-11.61	-2.73	-9.31	-2.97	18.65	-2.32	-25.02	-8.27	29.33	7.17	1.74	15.95	5.84	3.67	13.15	-6.21	-13.03	-14.61
-13.24	-16.82	-14.33	8.77	-1.12	-1.51	-14.24	-1.45	-11.03	-3.90	17.01	-3.94	-25.61	-8.69	23.99	6.03	0.12	15.81	5.61	3.44	13.92	-7.39	-14.21	-15.56
-10.90	-16.37	-12.41	6.62	-0.90	-0.57	-14.51	-2.01	-11.77	-4.16	15.55	-5.19	-25.41	-8.61	19.56	5.41	-1.13	16.00	5.70	3.48	14.87	-8.16	-15.10	-15.96
-7.39	-15.11	-7.96	3.51	-0.79	0.20	-12.28	-3.40	-11.65	-3.82	14.30	-5.99	-24.54	-8.08	16.11	5.32	-1.97	16.44	6.07	3.76	15.92	-8.56	-15.70	-15.88
-5.64	-13.57	-4.00	1.87	-0.72	0.86	-7.84	-4.27	-10.86	-3.02	13.14	-6.40	-23.18	-7.19	13.50	5.73	-2.42	17.02	6.61	4.19	16.93	-8.67	-16.06	-15.45
-6.49	-11.11	-2.90	2.25	-0.58	1.41	-2.06	-3.93	-9.61	-1.92	11.91	-6.52	-21.56	-6.07	11.53	6.64	-2.48	17.53	7.24	4.65	17.79	-8.57	-16.26	-14.80
-8.82	-8.21	-4.91	3.83	-0.34	1.73	3.69	-2.57	-8.06	-0.66	10.50	-6.48	-19.85	-4.80	10.03	8.06	-2.22	17.82	7.94	5.02	18.50	-8.31	-16.36	-14.08
-10.66	-6.17	-8.07	5.40	-0.05	1.66	8.16	-0.87	-6.35	0.63	8.90	-6.39	-18.19	-3.45	8.87	9.89	-1.67	17.75	8.70	5.23	19.13	-7.87	-16.42	-13.36
-10.46	-5.13	-9.86	5.91	0.15	1.16	10.85	0.57	-4.57	1.84	7.17	-6.31	-16.62	-2.16	7.88	11.88	-0.84	17.25	9.45	5.22	19.75	-7.26	-16.47	-12.73
-8.10	-3.92	-8.79	4.98	0.11	0.45	12.03	1.57	-2.77	2.87	5.46	-6.26	-15.19	-1.02	6.95	13.73	0.34	16.35	10.14	5.01	20.42	-6.45	-16.51	-12.20
-4.85	-2.10	-5.16	3.14	-0.29	-0.11	12.09	2.35	-1.01	3.70	3.93	-6.20	-13.85	-0.12	6.02	15.20	1.89	15.19	10.71	4.68	21.17	-5.39	-16.50	-11.74
